init_state,found,time_millis,steps,solution
2 4 7 0 8 6 5 1 3,1,85,25,D R U R U L D R D L U U R D L L D R U U L D R D R
1 7 0 3 6 2 4 8 5,1,16,22,D L L D R R U L D L U R U R D D L U L D R R
5 0 2 7 6 1 8 3 4,1,46,25,R D L D R U L D L U R U R D D L L U U R D L D R R
6 7 1 2 4 5 3 8 0,1,104,26,L U U L D D R U U R D L L U R D L D R R U U L D R D
3 7 6 0 4 8 2 5 1,1,31,21,D R R U L U L D R D L U R R U L L D R D R
8 1 5 4 7 0 6 2 3,0,2757,NA,NA
1 0 4 6 5 7 8 3 2,1,110,27,D R D L L U R U R D D L U U R D D L L U R D R U L D R
5 3 2 4 7 0 8 6 1,0,2989,NA,NA
4 1 5 8 2 7 6 3 0,1,51,22,L L U U R D R U L L D R R D L L U U R R D D
6 7 8 0 3 2 4 1 5,0,2778,NA,NA
5 6 4 0 2 1 7 3 8,0,3007,NA,NA
0 2 8 5 6 1 7 4 3,1,69,24,R D R U L L D R D R U U L L D R D R U L U R D D
7 0 8 4 1 5 3 2 6,1,94,25,D L U R R D D L L U R R D L U U R D D L U U R D D
1 8 3 4 6 0 5 2 7,0,3031,NA,NA
2 3 4 5 1 7 8 0 6,1,0,17,L U R R U L L D R R D L L U R D R
2 6 1 4 5 7 0 3 8,1,122,28,U R D R U L U R D L U L D R D R U U L L D D R U U R D D
4 1 2 0 7 6 8 5 3,0,3105,NA,NA
5 8 4 6 2 1 3 0 7,0,2709,NA,NA
2 5 8 6 7 1 4 0 3,1,40,23,U L D R U R D L L U R U R D L U L D D R U R D
3 1 4 0 2 8 5 7 6,0,2917,NA,NA
3 2 1 5 0 7 4 8 6,0,3084,NA,NA
1 0 2 3 7 4 8 5 6,0,2882,NA,NA
4 6 0 8 1 7 5 2 3,0,2911,NA,NA
4 0 7 8 6 1 3 5 2,0,2754,NA,NA
5 0 7 2 3 4 1 8 6,0,2991,NA,NA
7 5 0 1 8 6 2 3 4,0,2798,NA,NA
3 7 2 5 1 4 8 0 6,0,2894,NA,NA
0 2 7 3 4 8 5 6 1,0,2737,NA,NA
8 4 7 1 0 3 5 6 2,1,31,24,U L D R U R D D L U U L D R R D L L U U R D D R
3 7 2 1 8 4 5 0 6,0,2984,NA,NA
1 3 7 6 0 5 2 8 4,0,2942,NA,NA
4 3 8 6 5 2 1 7 0,1,32,24,U U L D L D R R U L L U R D D L U U R D L D R R
2 7 6 8 1 5 4 3 0,0,2996,NA,NA
8 6 7 1 0 5 4 2 3,1,157,26,R U L L D R D R U L U R D L D R U L U R D L L D R R
2 5 3 8 6 1 7 4 0,1,47,24,L U R D L L U R U L D R D L U R R D L L U R D R
1 7 8 4 6 0 2 5 3,1,16,21,D L U U R D D L U U L D D R U L U R D R D
4 1 5 7 0 3 8 6 2,1,0,14,R D L L U U R R D L U R D D
7 0 1 8 3 4 6 5 2,1,50,21,R D D L L U U R R D L U R D D L L U R R D
2 6 1 5 3 4 7 0 8,0,2866,NA,NA
5 2 4 6 1 3 8 7 0,1,62,26,U U L D R D L U L U R R D L L D R R U L L D R U R D
8 5 1 0 2 7 6 4 3,0,2700,NA,NA
7 8 5 6 4 0 1 3 2,1,78,27,D L U L D R U U R D D L U U L D R U R D D L U L D R R
4 5 3 8 7 2 1 0 6,1,16,21,U L D R U L U R D R D L L U U R D L D R R
0 1 4 5 3 8 2 6 7,1,31,24,R D D R U L D L U R D R U U L D R D L L U R D R
4 5 1 6 2 8 7 0 3,0,2889,NA,NA
2 0 5 3 4 1 6 7 8,1,78,25,L D R R D L L U R D R U L U L D D R R U U L D R D
7 2 0 8 4 3 1 5 6,0,2958,NA,NA
3 0 5 6 1 8 2 4 7,0,2844,NA,NA
7 8 4 6 5 3 0 1 2,1,63,24,R U U R D L L D R R U L L U R D D L U U R D D R
1 8 0 5 2 7 4 3 6,0,2880,NA,NA
8 4 5 0 3 2 7 6 1,0,2967,NA,NA
8 6 1 3 4 0 5 2 7,0,2698,NA,NA
4 2 8 5 1 7 0 3 6,0,3065,NA,NA
7 5 0 6 1 3 4 8 2,0,3195,NA,NA
5 0 8 4 1 6 7 3 2,1,73,23,D R U L D D R U L U R D L D L U U R D L D R R
3 6 5 1 4 0 7 8 2,1,1,15,U L L D R R D L U R U L D D R
5 2 7 3 6 1 0 8 4,0,2800,NA,NA
5 1 3 7 0 4 8 2 6,0,3106,NA,NA
0 4 3 8 6 2 5 1 7,0,2899,NA,NA
5 6 7 2 8 1 3 4 0,1,308,30,U U L L D D R R U L L D R R U U L D L D R R U U L L D R R D
4 8 3 6 7 2 5 0 1,0,2875,NA,NA
4 1 8 7 6 0 3 2 5,1,14,21,L D L U U R D R U L D D R U L U R D L D R
7 2 0 3 4 1 5 8 6,1,18,20,L D L U R R D L U R D D L L U U R D D R
3 1 4 8 2 6 0 7 5,0,2880,NA,NA
0 5 6 8 2 7 3 4 1,0,2832,NA,NA
1 0 8 5 3 7 4 6 2,0,3003,NA,NA
4 3 2 0 5 1 8 6 7,0,2932,NA,NA
2 4 1 5 0 8 7 6 3,1,0,16,R D L U L U R R D L L U R D R D
6 7 4 8 0 1 2 3 5,0,2710,NA,NA
0 3 7 5 4 2 1 8 6,1,18,24,D R R U L D R D L U L D R R U U L L D R U R D D
8 5 3 7 1 6 4 2 0,1,138,26,L L U R D R U U L L D R D R U L U R D D L U U R D D
7 1 2 4 0 8 6 3 5,1,15,20,D R U L L U R R D D L L U R D R U L D R
4 6 3 5 7 1 8 0 2,1,29,21,L U R R U L D R D L L U U R D R U L D D R
5 3 7 2 8 4 0 1 6,0,2859,NA,NA
5 2 4 7 8 3 1 6 0,1,0,20,L U L U R R D D L U L D R U U L D R D R
2 5 4 6 7 0 1 8 3,0,3093,NA,NA
0 7 6 3 2 8 5 4 1,1,47,22,R D L U R D D R U U L D D L U R U L D R D R
7 3 4 0 6 2 1 5 8,1,63,21,D R U U R D L L U R D D L U U R R D L D R
0 3 6 4 5 8 1 7 2,1,15,22,D D R R U U L D L U R D D L U U R D L D R R
1 2 3 4 8 0 5 6 7,0,3323,NA,NA
2 0 8 7 4 5 6 1 3,1,14,21,D D L U R U L D R R U L D R D L U U R D D
8 6 3 2 0 1 5 7 4,0,2862,NA,NA
4 7 8 3 6 2 0 5 1,1,277,28,R U L U R D R U L D D R U L L U R D D L U R U L D R D R
4 6 1 2 0 7 5 8 3,0,2863,NA,NA
7 0 1 5 6 2 4 8 3,1,6,17,R D D L L U U R R D L D L U R D R
5 6 8 1 7 0 2 4 3,0,2841,NA,NA
0 8 2 3 5 1 4 6 7,0,2889,NA,NA
3 2 4 1 8 6 7 0 5,0,3233,NA,NA
7 2 4 6 3 1 0 8 5,1,31,22,U U R R D L D L U U R R D D L U L U R D R D
5 0 8 6 3 7 4 2 1,1,55,23,D D R U U L D D R U U L D L U R R D L L D R R
4 1 5 2 0 8 6 7 3,1,6,20,L D R R U L L U R R D L D R U L U R D D
7 6 1 8 0 4 2 5 3,1,47,22,L D R U R D L U U R D L L U R D D L U R D R
8 2 6 5 1 4 7 3 0,0,2952,NA,NA
1 4 8 3 6 5 2 0 7,0,2886,NA,NA
4 8 3 2 5 7 0 1 6,0,2954,NA,NA
5 8 3 6 4 2 0 1 7,1,47,26,R U L D R R U L U L D D R U U R D D L U R U L D D R
3 4 6 0 8 2 7 1 5,1,62,21,U R R D L D R U U L D L U R D R U L D D R
7 6 5 3 0 2 1 8 4,0,3144,NA,NA
4 2 6 0 8 7 5 1 3,1,68,21,R D R U U L D D R U L L D R U L U R R D D
0 5 3 8 2 7 6 1 4,0,2859,NA,NA
8 3 7 6 2 5 1 4 0,0,2875,NA,NA
5 0 3 2 6 4 7 8 1,1,31,23,L D D R U R D L L U R R D L L U R U L D D R R
0 7 8 5 6 2 3 4 1,0,2807,NA,NA
0 3 6 7 5 1 2 4 8,0,3010,NA,NA
1 7 0 8 3 6 2 5 4,0,2992,NA,NA
2 8 6 1 5 0 4 7 3,0,3674,NA,NA
0 4 5 6 1 3 8 7 2,0,3533,NA,NA
5 7 0 8 4 3 1 2 6,0,3214,NA,NA
4 7 0 5 2 1 6 3 8,0,3323,NA,NA
4 3 7 8 6 0 1 2 5,1,100,27,L D R U U L D L D R U R U L L D R U R D D L L U R D R
6 0 5 1 3 4 7 8 2,0,4731,NA,NA
4 2 6 8 3 1 0 7 5,0,3332,NA,NA
1 8 3 7 4 5 6 2 0,1,2,16,L L U R U R D D L U R U L D R D
4 2 6 8 5 7 3 1 0,1,91,24,U L D R U U L D D L U R D R U L D L U U R R D D
6 2 8 1 4 5 0 3 7,0,2890,NA,NA
8 1 4 2 6 0 5 7 3,0,2981,NA,NA
0 4 8 6 5 3 2 1 7,0,2800,NA,NA
6 3 0 2 7 4 8 5 1,0,2825,NA,NA
4 2 8 7 3 0 1 5 6,1,25,21,L D L U U R R D L D L U R U L D D R U R D
4 1 0 3 8 2 5 6 7,1,4,18,D L D R U L L D R R U L L U R R D D
1 5 4 0 8 3 7 2 6,1,28,23,U R R D D L U U L D R U R D D L U R U L D D R
4 2 7 1 0 8 5 3 6,1,266,26,R D L U U R D L U L D R U R D D L L U R U R D L D R
2 3 4 1 0 7 5 6 8,0,3497,NA,NA
5 1 3 8 2 0 7 6 4,1,6,19,D L L U U R D D L U R R D L L U R D R
